#y [cm] posizione banda dy[mm] m ordine diffrazione
6.4 	0	2.05
9.7 	1	1.50
12.1 	2	1.60
14.1 	3	1.60
15.9 	4	1.60
17.5 	5	1.15
19.0 	6	0.85
20.4 	7	0.85
21.7	8	0.85
22.9 	9	0.6
24.0 	10	0
25.1 	11	0
26.2 	12	0
27.2 	13	0
28.2 	14	0
29.1 	15	0		
30.1 	16	0
31.0	17	0
31.85	18	0
32.75 	19	0
33.55 	20	0
