Record Length,2500,Points,-2.4960E-3,-240.00001E-3,,Record Length,2500,Points,-2.4960E-3,188.00001E-3,
Sample Interval,2.0000E-6,s,-2.4940E-3,-244.00002E-3,,Sample Interval,2.0000E-6,s,-2.4940E-3,184.00002E-3,
Trigger Point,1.2480E3,Samples,-2.4920E-3,-244.00002E-3,,Trigger Point,1.2480E3,Samples,-2.4920E-3,188.00001E-3,
,,,-2.4900E-3,-244.00002E-3,,,,,-2.4900E-3,184.00002E-3,
,,,-2.4880E-3,-244.00002E-3,,,,,-2.4880E-3,184.00002E-3,
,,,-2.4860E-3,-244.00002E-3,,,,,-2.4860E-3,188.00001E-3,
Source,CH1,,-2.4840E-3,-244.00002E-3,,Source,CH2,,-2.4840E-3,184.00002E-3,
Vertical Units,Volts,,-2.4820E-3,-244.00002E-3,,Vertical Units,Volts,,-2.4820E-3,184.00002E-3,
Vertical Scale,100.0000E-3,,-2.4800E-3,-248.00001E-3,,Vertical Scale,100.0000E-3,,-2.4800E-3,184.00002E-3,
Vertical Offset,0,,-2.4780E-3,-248.00001E-3,,Vertical Offset,0,,-2.4780E-3,184.00002E-3,
Horizontal Units,s,,-2.4760E-3,-248.00001E-3,,Horizontal Units,s,,-2.4760E-3,184.00002E-3,
Horizontal Scale,499.999999E-6,,-2.4740E-3,-248.00001E-3,,Horizontal Scale,499.999999E-6,,-2.4740E-3,184.00002E-3,
Pt Fmt,Y,,-2.4720E-3,-248.00001E-3,,Pt Fmt,Y,,-2.4720E-3,184.00002E-3,
Yzero,0.0,,-2.4700E-3,-252.00000E-3,,Yzero,0.0,,-2.4700E-3,184.00002E-3,
Probe Atten,1.000,,-2.4680E-3,-252.00000E-3,,Probe Atten,1.000,,-2.4680E-3,184.00002E-3,
,,,-2.4660E-3,-248.00001E-3,,,,,-2.4660E-3,180.00001E-3,
Note,TDS 1012B - 16:19:50   28/11/2016,,-2.4640E-3,-252.00000E-3,,Note,TDS 1012B - 16:19:50   28/11/2016,,-2.4640E-3,180.00001E-3,
,,,-2.4620E-3,-252.00000E-3,,,,,-2.4620E-3,180.00001E-3,
,,,-2.4600E-3,-252.00000E-3,,,,,-2.4600E-3,180.00001E-3,
,,,-2.4580E-3,-252.00000E-3,,,,,-2.4580E-3,180.00001E-3,
,,,-2.4560E-3,-252.00000E-3,,,,,-2.4560E-3,180.00001E-3,
,,,-2.4540E-3,-252.00000E-3,,,,,-2.4540E-3,176.00001E-3,
,,,-2.4520E-3,-256.00001E-3,,,,,-2.4520E-3,176.00001E-3,
,,,-2.4500E-3,-256.00001E-3,,,,,-2.4500E-3,176.00001E-3,
,,,-2.4480E-3,-256.00001E-3,,,,,-2.4480E-3,176.00001E-3,
,,,-2.4460E-3,-256.00001E-3,,,,,-2.4460E-3,176.00001E-3,
,,,-2.4440E-3,-260.00002E-3,,,,,-2.4440E-3,176.00001E-3,
,,,-2.4420E-3,-256.00001E-3,,,,,-2.4420E-3,176.00001E-3,
,,,-2.4400E-3,-256.00001E-3,,,,,-2.4400E-3,176.00001E-3,
,,,-2.4380E-3,-256.00001E-3,,,,,-2.4380E-3,176.00001E-3,
,,,-2.4360E-3,-256.00001E-3,,,,,-2.4360E-3,176.00001E-3,
,,,-2.4340E-3,-256.00001E-3,,,,,-2.4340E-3,172.00001E-3,
,,,-2.4320E-3,-260.00002E-3,,,,,-2.4320E-3,172.00001E-3,
,,,-2.4300E-3,-260.00002E-3,,,,,-2.4300E-3,172.00001E-3,
,,,-2.4280E-3,-260.00002E-3,,,,,-2.4280E-3,172.00001E-3,
,,,-2.4260E-3,-260.00002E-3,,,,,-2.4260E-3,172.00001E-3,
,,,-2.4240E-3,-260.00002E-3,,,,,-2.4240E-3,168.00001E-3,
,,,-2.4220E-3,-260.00002E-3,,,,,-2.4220E-3,168.00001E-3,
,,,-2.4200E-3,-264.00000E-3,,,,,-2.4200E-3,168.00001E-3,
,,,-2.4180E-3,-264.00000E-3,,,,,-2.4180E-3,168.00001E-3,
,,,-2.4160E-3,-264.00000E-3,,,,,-2.4160E-3,168.00001E-3,
,,,-2.4140E-3,-264.00000E-3,,,,,-2.4140E-3,168.00001E-3,
,,,-2.4120E-3,-264.00000E-3,,,,,-2.4120E-3,164.00000E-3,
,,,-2.4100E-3,-264.00000E-3,,,,,-2.4100E-3,168.00001E-3,
,,,-2.4080E-3,-264.00000E-3,,,,,-2.4080E-3,164.00000E-3,
,,,-2.4060E-3,-264.00000E-3,,,,,-2.4060E-3,164.00000E-3,
,,,-2.4040E-3,-264.00000E-3,,,,,-2.4040E-3,164.00000E-3,
,,,-2.4020E-3,-264.00000E-3,,,,,-2.4020E-3,164.00000E-3,
,,,-2.4000E-3,-264.00000E-3,,,,,-2.4000E-3,164.00000E-3,
,,,-2.3980E-3,-264.00000E-3,,,,,-2.3980E-3,164.00000E-3,
,,,-2.3960E-3,-264.00000E-3,,,,,-2.3960E-3,160.00001E-3,
,,,-2.3940E-3,-268.00001E-3,,,,,-2.3940E-3,160.00001E-3,
,,,-2.3920E-3,-268.00001E-3,,,,,-2.3920E-3,160.00001E-3,
,,,-2.3900E-3,-264.00000E-3,,,,,-2.3900E-3,156.00000E-3,
,,,-2.3880E-3,-264.00000E-3,,,,,-2.3880E-3,156.00000E-3,
,,,-2.3860E-3,-268.00001E-3,,,,,-2.3860E-3,156.00000E-3,
,,,-2.3840E-3,-268.00001E-3,,,,,-2.3840E-3,156.00000E-3,
,,,-2.3820E-3,-268.00001E-3,,,,,-2.3820E-3,156.00000E-3,
,,,-2.3800E-3,-268.00001E-3,,,,,-2.3800E-3,152.00001E-3,
